date,futebol,basquete,volei,ufc,fórmula 1,country
2024-01-01,20,3,2,2,0,BR
2024-01-02,21,3,3,3,0,BR
2024-01-03,23,4,2,3,0,BR
2024-01-04,24,4,3,2,0,BR
2024-01-05,21,4,3,2,0,BR
2024-01-06,28,4,5,5,0,BR
2024-01-07,34,4,5,5,0,BR
2024-01-08,22,4,3,3,0,BR
2024-01-09,23,5,3,3,0,BR
2024-01-10,24,4,4,3,0,BR
2024-01-11,23,4,4,3,0,BR
2024-01-12,23,3,4,3,0,BR
2024-01-13,32,5,5,14,0,BR
2024-01-14,41,4,6,24,0,BR
2024-01-15,25,4,4,4,0,BR
2024-01-16,23,3,3,5,0,BR
2024-01-17,27,3,4,4,0,BR
2024-01-18,32,3,3,3,0,BR
2024-01-19,27,3,4,4,0,BR
2024-01-20,41,4,4,12,0,BR
2024-01-21,54,4,4,28,0,BR
2024-01-22,23,3,4,6,0,BR
2024-01-23,28,3,5,4,0,BR
2024-01-24,27,3,6,4,0,BR
2024-01-25,34,3,5,3,0,BR
2024-01-26,21,3,6,4,0,BR
2024-01-27,36,4,5,7,0,BR
2024-01-28,41,5,5,6,0,BR
2024-01-29,22,3,3,3,0,BR
2024-01-30,22,3,4,4,0,BR
2024-01-31,25,4,3,3,0,BR
2024-02-01,28,3,4,4,1,BR
2024-02-02,21,3,4,4,1,BR
2024-02-03,37,5,4,9,1,BR
2024-02-04,51,4,4,13,1,BR
2024-02-05,21,3,3,3,0,BR
2024-02-06,20,3,4,3,0,BR
2024-02-07,26,3,4,3,0,BR
2024-02-08,35,4,3,3,0,BR
2024-02-09,25,4,4,3,0,BR
2024-02-10,34,5,4,9,0,BR
2024-02-11,49,6,4,11,0,BR
2024-02-12,27,5,4,3,0,BR
2024-02-13,26,4,3,3,0,BR
2024-02-14,27,3,3,3,0,BR
2024-02-15,34,3,3,3,0,BR
2024-02-16,23,3,5,5,0,BR
2024-02-17,37,5,7,15,0,BR
2024-02-18,57,4,6,35,1,BR
2024-02-19,23,3,4,5,0,BR
2024-02-20,24,3,4,4,0,BR
2024-02-21,26,3,4,4,1,BR
2024-02-22,29,3,4,3,1,BR
2024-02-23,22,3,4,4,1,BR
2024-02-24,41,3,5,11,1,BR
2024-02-25,68,4,4,22,1,BR
2024-02-26,22,3,3,5,0,BR
2024-02-27,21,3,4,5,1,BR
2024-02-28,28,3,6,4,1,BR
2024-02-29,34,4,5,4,1,BR
2024-03-01,24,4,4,4,2,BR
2024-03-02,44,4,6,11,4,BR
2024-03-03,60,4,8,10,3,BR
2024-03-04,30,3,4,5,1,BR
2024-03-05,25,4,4,4,0,BR
2024-03-06,37,5,4,3,0,BR
2024-03-07,35,8,4,4,1,BR
2024-03-08,28,5,4,5,2,BR
2024-03-09,51,5,7,15,4,BR
2024-03-10,72,4,7,43,2,BR
2024-03-11,35,5,4,5,1,BR
2024-03-12,31,5,4,4,0,BR
2024-03-13,40,4,5,4,0,BR
2024-03-14,42,4,5,4,0,BR
2024-03-15,36,5,4,4,1,BR
2024-03-16,51,5,5,11,1,BR
2024-03-17,65,6,6,10,1,BR
2024-03-18,36,5,4,3,0,BR
2024-03-19,35,6,4,3,0,BR
2024-03-20,34,6,4,3,0,BR
2024-03-21,34,5,4,3,1,BR
2024-03-22,31,4,5,4,1,BR
2024-03-23,51,4,6,10,3,BR
2024-03-24,44,5,5,17,4,BR
2024-03-25,28,4,3,3,1,BR
2024-03-26,44,4,5,3,0,BR
2024-03-27,35,4,6,3,1,BR
2024-03-28,35,4,5,3,0,BR
2024-03-29,41,5,5,5,1,BR
2024-03-30,44,5,7,9,1,BR
2024-03-31,52,4,7,17,1,BR
2024-04-01,26,4,5,3,0,BR
2024-04-02,39,4,6,3,0,BR
2024-04-03,36,4,6,3,0,BR
2024-04-04,34,4,5,3,1,BR
2024-04-05,32,4,6,4,1,BR
2024-04-06,42,5,6,11,2,BR
2024-04-07,51,5,5,10,4,BR
2024-04-08,29,4,6,4,1,BR
2024-04-09,42,4,7,3,0,BR
2024-04-10,29,4,6,4,0,BR
2024-04-11,28,4,7,4,0,BR
2024-04-12,21,4,7,9,0,BR
2024-04-13,30,5,11,46,1,BR
2024-04-14,50,4,7,100,1,BR
2024-04-15,19,4,5,8,0,BR
2024-04-16,22,4,6,5,0,BR
2024-04-17,44,4,4,4,0,BR
2024-04-18,24,4,5,3,0,BR
2024-04-19,22,4,8,4,1,BR
2024-04-20,34,4,5,8,2,BR
2024-04-21,43,5,17,6,3,BR
2024-04-22,20,4,7,3,1,BR
2024-04-23,22,4,5,3,0,BR
2024-04-24,23,4,4,2,0,BR
2024-04-25,24,3,5,2,0,BR
2024-04-26,27,4,4,3,0,BR
2024-04-27,32,5,5,10,1,BR
2024-04-28,41,5,12,10,1,BR
2024-04-29,25,4,4,3,1,BR
2024-04-30,26,4,3,3,0,BR
2024-05-01,38,4,4,4,1,BR
2024-05-02,28,3,4,4,1,BR
2024-05-03,23,4,4,5,1,BR
2024-05-04,32,5,4,21,3,BR
2024-05-05,40,4,4,50,5,BR
2024-05-06,22,4,4,5,1,BR
2024-05-07,27,4,4,3,1,BR
2024-05-08,34,4,3,3,0,BR
2024-05-09,29,4,3,3,1,BR
2024-05-10,20,4,3,3,1,BR
2024-05-11,39,4,4,11,1,BR
2024-05-12,38,4,5,13,1,BR
2024-05-13,22,4,5,3,0,BR
2024-05-14,25,4,8,2,0,BR
2024-05-15,27,4,14,2,0,BR
2024-05-16,30,4,11,3,1,BR
2024-05-17,26,4,11,3,1,BR
2024-05-18,29,5,27,13,3,BR
2024-05-19,34,5,27,13,5,BR
2024-05-20,18,4,8,3,1,BR
